datetime,cpu,year,month,day,hour,minute
2017-01-27 18:42:00,1.14,2017,1,27,18,42
2017-01-27 18:43:00,1.1,2017,1,27,18,43
2017-01-27 18:44:00,1.09,2017,1,27,18,44
2017-01-27 18:45:00,1.08,2017,1,27,18,45
2017-01-27 18:46:00,1.08,2017,1,27,18,46
2017-01-27 18:47:00,1.08,2017,1,27,18,47
2017-01-27 18:48:00,1.15,2017,1,27,18,48
2017-01-27 18:49:00,1.13,2017,1,27,18,49
2017-01-27 18:50:00,1.09,2017,1,27,18,50
2017-01-27 18:51:00,1.06,2017,1,27,18,51
2017-01-27 18:52:00,1.04,2017,1,27,18,52
2017-01-27 18:53:00,1.03,2017,1,27,18,53
2017-01-27 18:54:00,1.01,2017,1,27,18,54
2017-01-27 18:55:00,1.0,2017,1,27,18,55
2017-01-27 18:56:00,0.99,2017,1,27,18,56
2017-01-27 18:57:00,0.98,2017,1,27,18,57
2017-01-27 18:58:00,0.97,2017,1,27,18,58
2017-01-27 18:59:00,0.95,2017,1,27,18,59
2017-01-27 19:00:00,0.93,2017,1,27,19,0
2017-01-27 19:01:00,0.92,2017,1,27,19,1
2017-01-27 19:02:00,0.9,2017,1,27,19,2
2017-01-27 19:03:00,0.88,2017,1,27,19,3
2017-01-27 19:04:00,0.88,2017,1,27,19,4
2017-01-27 19:05:00,0.87,2017,1,27,19,5
2017-01-27 19:06:00,0.85,2017,1,27,19,6
2017-01-27 19:07:00,0.89,2017,1,27,19,7
2017-01-27 19:08:00,0.86,2017,1,27,19,8
2017-01-27 19:09:00,0.84,2017,1,27,19,9
2017-01-27 19:10:00,0.81,2017,1,27,19,10
2017-01-27 19:11:00,0.79,2017,1,27,19,11
2017-01-27 19:12:00,0.78,2017,1,27,19,12
2017-01-27 19:13:00,0.76,2017,1,27,19,13
2017-01-27 19:14:00,0.74,2017,1,27,19,14
2017-01-27 19:15:00,0.72,2017,1,27,19,15
2017-01-27 19:16:00,0.71,2017,1,27,19,16
2017-01-27 19:17:00,0.71,2017,1,27,19,17
2017-01-27 19:18:00,0.69,2017,1,27,19,18
2017-01-27 19:19:00,0.68,2017,1,27,19,19
2017-01-27 19:20:00,0.67,2017,1,27,19,20
2017-01-27 19:21:00,0.65,2017,1,27,19,21
2017-01-27 19:22:00,0.65,2017,1,27,19,22
2017-01-27 19:23:00,0.64,2017,1,27,19,23
2017-01-27 19:24:00,0.64,2017,1,27,19,24
2017-01-27 19:25:00,0.64,2017,1,27,19,25
2017-01-27 19:26:00,0.67,2017,1,27,19,26
2017-01-27 19:27:00,0.65,2017,1,27,19,27
2017-01-27 19:28:00,0.7,2017,1,27,19,28
2017-01-27 19:29:00,0.66,2017,1,27,19,29
2017-01-27 19:30:00,0.63,2017,1,27,19,30
2017-01-27 19:31:00,0.61,2017,1,27,19,31
2017-01-27 19:32:00,0.61,2017,1,27,19,32
2017-01-27 19:33:00,0.64,2017,1,27,19,33
2017-01-27 19:34:00,0.62,2017,1,27,19,34
2017-01-27 19:35:00,0.62,2017,1,27,19,35
2017-01-27 19:36:00,0.6,2017,1,27,19,36
2017-01-27 19:37:00,0.57,2017,1,27,19,37
2017-01-27 19:38:00,0.57,2017,1,27,19,38
2017-01-27 19:39:00,0.58,2017,1,27,19,39
2017-01-27 19:40:00,0.58,2017,1,27,19,40
2017-01-27 19:41:00,0.67,2017,1,27,19,41
2017-01-27 19:42:00,0.64,2017,1,27,19,42
2017-01-27 19:43:00,0.62,2017,1,27,19,43
2017-01-27 19:44:00,0.62,2017,1,27,19,44
2017-01-27 19:45:00,0.6,2017,1,27,19,45
2017-01-27 19:46:00,0.6,2017,1,27,19,46
2017-01-27 19:47:00,0.64,2017,1,27,19,47
2017-01-27 19:48:00,0.65,2017,1,27,19,48
2017-01-27 19:49:00,0.65,2017,1,27,19,49
2017-01-27 19:50:00,0.68,2017,1,27,19,50
2017-01-27 19:51:00,0.68,2017,1,27,19,51
2017-01-27 19:52:00,0.76,2017,1,27,19,52
2017-01-27 19:53:00,0.76,2017,1,27,19,53
2017-01-27 19:54:00,0.77,2017,1,27,19,54
2017-01-27 19:55:00,0.78,2017,1,27,19,55
2017-01-27 19:56:00,0.84,2017,1,27,19,56
2017-01-27 19:57:00,0.85,2017,1,27,19,57
2017-01-27 19:58:00,0.96,2017,1,27,19,58
2017-01-27 19:59:00,0.97,2017,1,27,19,59
2017-01-27 20:00:00,0.96,2017,1,27,20,0
2017-01-27 20:01:00,0.99,2017,1,27,20,1
2017-01-27 20:02:00,1.11,2017,1,27,20,2
2017-01-27 20:03:00,1.22,2017,1,27,20,3
2017-01-27 20:04:00,1.17,2017,1,27,20,4
2017-01-27 20:05:00,1.16,2017,1,27,20,5
2017-01-27 20:06:00,1.66,2017,1,27,20,6
2017-01-27 20:07:00,1.6,2017,1,27,20,7
2017-01-27 20:08:00,1.68,2017,1,27,20,8
2017-01-27 20:09:00,2.03,2017,1,27,20,9
2017-01-27 20:10:00,2.02,2017,1,27,20,10
2017-01-27 20:11:00,1.79,2017,1,27,20,11
